asset_id,asset_name,asset_type,criticality,internet_exposure,business_impact_score,environment,ip_address,installed_software,description,department_name
ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,,"aws,s3,gcs,azure,cloud,storage,bucket,iam,object,terraform",Cloud object storage for user-uploaded files and media assets. Misconfiguration risk.,IT Infrastructure
ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,10.0.2.13,"nodejs,express,api,rest,json,nginx,http,javascript,graphql",Serves product listing and search API to the storefront and mobile apps.,Core Engineering
ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,10.0.3.11,"vpn,openvpn,ipsec,ssl,tunnel,cisco,palo alto,wireguard,network",Remote access gateway for staff and third-party partners.,IT Infrastructure
ASSET-016,SIEM & Log Management Server,Server,HIGH,0,7,Production,10.0.5.10,"elasticsearch,splunk,kibana,logstash,siem,logging,monitor,security",Centralised security event logging and monitoring. Tampering = blind spot for attacks.,Security Operations
ASSET-013,Backup & Recovery Server,Server,MEDIUM,0,6,Production,10.0.3.14,"backup,veeam,bacula,rsync,storage,recovery,encryption",Manages automated backups for all production databases and servers.,IT Infrastructure
ASSET-014,Analytics Data Warehouse,Database,MEDIUM,0,6,Production,10.0.4.10,"snowflake,bigquery,redshift,spark,hadoop,sql,analytics,etl,airflow",Stores aggregated business intelligence data. Used for dashboards and reports.,Data & Analytics
ASSET-026,Corporate Email Server,Server,MEDIUM,1,6,Corporate,10.0.8.11,"exchange,outlook,smtp,email,microsoft,office365,postfix,imap,pop3",Enterprise email system. Primary phishing / BEC attack surface.,IT Infrastructure
ASSET-008,Notification & Email Server,Server,MEDIUM,1,5,Production,10.0.2.15,"postfix,sendmail,smtp,email,mailserver,exim,spf,dkim","Sends order confirmations, password resets, and marketing emails.",Core Engineering
ASSET-011,Internal DNS Server,Server,MEDIUM,0,5,Production,10.0.3.12,"bind,dns,named,network,resolver,zone",Internal DNS resolution for all enterprise services.,IT Infrastructure
ASSET-012,Network Attached Storage (NAS),Storage,MEDIUM,0,5,Production,10.0.3.13,"samba,nfs,smb,storage,nas,file,backup,synology",Centralised file storage for teams and backup targets.,IT Infrastructure
ASSET-015,ML Model Serving API,Server,MEDIUM,0,5,Production,10.0.4.11,"python,flask,fastapi,tensorflow,pytorch,sklearn,docker,model,mlflow",Hosts recommendation and fraud detection ML models consumed by the storefront.,Data & Analytics
ASSET-021,Container Orchestration Cluster (K8s),Server,MEDIUM,0,5,Development,10.0.7.11,"kubernetes,docker,container,helm,k8s,pod,orchestration,etcd",Development Kubernetes cluster. Shared by multiple engineering teams.,DevOps
ASSET-030,CDN Edge Nodes,Network,MEDIUM,1,5,Production,,"cloudflare,cdn,edge,cache,nginx,http,ssl,tls,web",Content delivery network for static assets. DDoS mitigation layer.,IT Infrastructure
ASSET-017,Vulnerability Scanner Host,Server,MEDIUM,0,4,Production,10.0.5.11,"nessus,openvas,tenable,qualys,scanner,security,nmap",Runs scheduled vulnerability scans across the enterprise network.,Security Operations
ASSET-020,CI/CD Build Server,Server,MEDIUM,0,4,Development,10.0.7.10,"jenkins,gitlab,github,ci,cd,docker,kubernetes,build,pipeline,python,java",Runs automated builds and deployments. Supply-chain risk if compromised.,DevOps
ASSET-018,Staging Web Server,Server,LOW,1,3,Staging,10.0.6.10,"nginx,apache,http,https,react,node,javascript,web,staging",Pre-production staging environment for QA testing.,Core Engineering
ASSET-022,Developer Workstation Pool,Laptop,LOW,0,3,Development,10.0.7.50,"windows,linux,macos,chrome,firefox,browser,vscode,git,python,java,nodejs",Developer laptops and workstations. Could be entry point via phishing.,Core Engineering
ASSET-027,Employee Endpoint Fleet,Laptop,LOW,0,3,Corporate,10.0.8.50,"windows,office,chrome,firefox,browser,endpoint,antivirus,zoom,teams",Non-technical staff laptops. Common ransomware / phishing entry point.,IT Infrastructure
ASSET-019,Staging Database,Database,LOW,0,2,Staging,10.0.6.11,"mysql,postgresql,sql,database,staging",Contains anonymised/synthetic data for staging tests.,Core Engineering
ASSET-023,Test / QA Server,Server,LOW,0,2,Development,10.0.7.20,"selenium,pytest,jest,test,qa,staging,docker,python",Automated and manual QA testing environment.,DevOps
